Response_Time (ms),Page_Load_Time (ms),Requests_per_sec,CPU_Usage (%),Memory_Usage (%),Disk_IO_read (MB/sec),Disk_IO_write (MB/sec),Concurrent_Users,Performance_Bottleneck,Bottleneck_Reason
227.9764144,283.1342961,171.1013365,56.41637844,34.13047034,285.6335177,268.8547963,1302,No,No bottleneck
189.8000724,411.7157014,177.5990258,55.50852541,47.45215444,294.823941,284.4597211,1339,No,No bottleneck
230.8814984,366.3946817,182.4622192,52.94566588,45.28796878,244.3014321,338.0252089,1618,No,No bottleneck
223.9007448,303.4976712,218.1594605,55.51662248,33.10112453,283.9414657,272.4000992,1580,No,No bottleneck
182.2962965,377.6940191,161.6593673,53.52463325,46.67722352,307.1687777,268.3324431,1516,No,No bottleneck
172.1495254,293.0727833,218.7560689,55.24899748,37.66278789,295.5465193,319.6435144,1360,No,No bottleneck
204.1475441,398.5599032,232.3624184,55.12122679,35.91450397,319.9540048,279.5656732,1476,No,No bottleneck
188.7630244,375.5928587,208.0268482,50.45912367,40.70905664,263.1971325,351.6960567,1313,No,No bottleneck
237.4322312,372.2039985,232.6437155,55.38405178,32.24993473,243.3460309,269.4880544,1281,No,No bottleneck
226.5839839,317.38363,206.5448899,56.45004271,35.96045799,255.6624086,317.3115132,1171,No,No bottleneck
197.8824639,349.1238454,162.9121198,53.36917742,46.54342456,315.7663669,333.9366139,1606,No,No bottleneck
201.0935265,354.6389809,173.9072552,58.45690206,48.21760017,318.5389458,291.224785,1517,No,No bottleneck
162.8545096,361.3124114,235.4757527,56.55487658,49.04099492,248.9605918,353.784949,1313,No,No bottleneck
204.062447,344.6837696,235.0014229,53.40430581,35.86292103,261.8703645,261.8085901,1204,No,No bottleneck
232.7585589,331.4944247,226.7429777,54.54822751,36.14833238,282.3647303,295.498363,1210,No,No bottleneck
191.593673,283.1058857,180.7956257,56.00612922,35.67484653,246.3788537,244.8072199,1122,No,No bottleneck
194.0096472,312.5382772,179.4182911,55.86073671,42.00945725,324.0752486,332.9175145,1399,No,No bottleneck
182.1839076,304.3463954,187.471482,56.66494403,34.23979672,244.0794909,287.6216226,1597,No,No bottleneck
226.2397211,333.2634241,214.0610693,52.22554437,34.69459156,357.0696948,327.2648528,1560,No,No bottleneck
232.3145305,329.8420479,232.4852012,53.02681258,31.90466998,305.7724497,314.804582,1405,No,No bottleneck
219.9345118,389.3199308,198.173115,53.98377096,38.22109095,245.7509499,283.606258,1233,No,No bottleneck
213.5335894,389.8510389,210.9156681,59.99650242,44.32441981,314.7508868,253.1553405,1240,No,No bottleneck
165.3159285,388.6065678,205.271071,56.53942443,35.85063116,344.4601423,316.6475241,1522,No,No bottleneck
216.7347597,404.4972768,201.3683026,56.53164559,43.02990529,265.4400878,274.5574595,1567,No,No bottleneck
201.1767714,357.1822627,238.8936573,54.87678342,44.31201217,319.7260274,272.8850195,1451,No,No bottleneck
222.3083349,363.9176972,190.7432524,59.12908875,39.46495683,252.5406068,295.5192279,1092,No,No bottleneck
208.6833814,401.5069322,186.6198113,54.62470002,32.24439714,346.8007556,350.325744,1411,No,No bottleneck
234.9021807,324.3919539,225.1297243,57.8353224,33.04082435,293.1532958,359.0230378,1185,No,No bottleneck
167.6709065,288.2249216,186.6378353,52.93042746,38.30201028,275.6459193,321.2877783,1283,No,No bottleneck
233.3014948,408.6245088,196.9215593,50.11700146,44.59320946,295.3978831,244.4737648,1297,No,No bottleneck
168.0480882,325.7950011,195.135557,56.68870798,37.3852669,285.2669417,350.3667112,1211,No,No bottleneck
237.6741304,312.4757304,232.6417177,57.15087666,40.19079738,282.3086648,330.3765617,1122,No,No bottleneck
164.5938656,305.6947168,172.6948729,58.00204344,31.19029196,334.3780152,242.5209171,1471,No,No bottleneck
162.5209573,347.6903439,225.1646811,57.68459413,31.05939002,281.9973757,294.9347948,1265,No,No bottleneck
179.144182,326.1357762,181.3057779,50.52737424,36.20132736,284.5348946,317.6453273,1298,No,No bottleneck
214.0328422,308.4918235,162.1225918,56.34977872,35.2962474,310.8256065,251.3567865,1119,No,No bottleneck
211.9600157,343.3519548,181.7193378,58.50229126,30.01317097,340.632821,288.8948482,1544,No,No bottleneck
180.8691171,364.8412704,202.6032443,57.527686,43.550356,304.667028,359.618201,1617,No,No bottleneck
180.1722612,393.7365865,175.8686323,56.69076334,33.4252711,290.842597,292.0840649,1132,No,No bottleneck
206.0943633,381.8362592,179.7020782,58.39050595,34.91715217,305.4740173,245.0785509,1371,No,No bottleneck
196.0881755,414.8884146,221.0514459,53.36153744,44.13861387,342.4416563,261.1493837,1277,No,No bottleneck
209.892641,329.2360482,169.0387679,59.05755145,39.31910672,273.9972021,340.5823283,1243,No,No bottleneck
207.5255026,350.2435475,178.9830406,53.44718479,49.094463,340.5574507,288.9284964,1175,No,No bottleneck
197.9149812,399.2682933,192.9964183,50.03902477,48.57612757,306.0009857,303.5412704,1241,No,No bottleneck
179.4628164,401.1062047,237.9882888,55.83299451,43.37524579,282.1560051,337.3866789,1291,No,No bottleneck
167.8456171,309.6084789,228.6199523,55.5044716,40.19173764,269.6465162,334.6203963,1304,No,No bottleneck
164.8541242,376.0415105,208.227016,57.61319193,36.88770842,328.905461,308.9233339,1540,No,No bottleneck
230.6935703,354.9910563,228.2197991,52.87125618,39.93843078,304.4641426,308.0931047,1488,No,No bottleneck
197.8275808,309.84728,213.8688877,52.96302073,40.09918955,343.7700435,302.0209647,1140,No,No bottleneck
207.015291,317.7121439,198.0072389,51.6093505,34.30456121,328.9100799,317.8756866,1612,No,No bottleneck
237.372032,337.3817139,191.5548137,55.8057859,30.52503031,355.2089574,345.1188317,1585,No,No bottleneck
235.6499812,304.4129655,234.2960896,57.28215064,33.34298662,348.3690769,301.5481545,1564,No,No bottleneck
233.6740128,366.1378684,224.8918962,55.10991181,37.40989431,283.3373269,287.9326136,1446,No,No bottleneck
239.7499493,295.2295796,172.7701176,55.62133725,33.08529768,278.3004942,251.470733,1586,No,No bottleneck
193.1003904,407.4796805,162.858813,50.59053564,39.68988363,273.5537601,274.7100035,1221,No,No bottleneck
172.4271734,398.7855794,182.104558,50.51431089,49.35145082,327.5744795,324.6996007,1111,No,No bottleneck
214.1826299,361.7024914,170.7358244,52.38058197,45.7540273,280.6545214,281.892201,1564,No,No bottleneck
191.7094576,396.1575466,228.5182679,58.00427791,32.1678923,319.8275372,310.1919106,1581,No,No bottleneck
209.1744699,343.6913101,218.2942539,58.81965581,46.92230951,265.4056597,347.7130022,1482,No,No bottleneck
237.8324126,322.4671684,191.819313,50.63390743,45.16000216,298.8262933,262.5572537,1102,No,No bottleneck
165.681906,354.7774042,216.2788539,59.78536105,42.17324072,281.888929,305.9234341,1333,No,No bottleneck
186.9036223,355.4907394,203.0784542,54.77982609,49.99376892,314.8033042,349.8952692,1195,No,No bottleneck
187.9958811,397.2328723,201.1123801,50.81267475,38.7332097,269.1261987,351.8294618,1109,No,No bottleneck
226.2983528,333.9928316,167.0623733,58.87437542,38.48736144,350.3746875,350.2929051,1590,No,No bottleneck
187.0671596,355.632047,199.928165,54.55768686,43.71115089,283.2999417,343.4184954,1153,No,No bottleneck
218.1300771,314.8968856,197.700926,53.34866414,41.0709951,256.2428105,293.9514871,1503,No,No bottleneck
164.6469983,393.2381625,221.4826533,56.84585162,46.6542784,254.6822484,250.310904,1360,No,No bottleneck
215.1582078,303.3765104,196.5558048,52.35899817,37.43100341,290.1718962,301.6656816,1373,No,No bottleneck
229.7180013,351.8361328,205.5255286,59.89508603,33.90627774,254.4517942,305.5500166,1277,No,No bottleneck
205.2119429,419.6959001,181.2264634,56.58983961,45.42196304,341.749074,330.289657,1136,No,No bottleneck
174.1902344,397.2743998,167.5753661,51.42333408,42.95301286,349.5131979,355.7613118,1367,No,No bottleneck
226.348147,317.9567516,188.6794842,56.26072236,34.86761163,349.6465485,272.1400344,1376,No,No bottleneck
200.0819809,356.5580063,191.498243,53.83146674,47.20500982,345.1347758,280.5565109,1450,No,No bottleneck
232.2646971,403.4096604,218.5849849,52.94774321,49.89162748,290.1979492,272.1603846,1318,No,No bottleneck
